Zeit_UTC;°C_Umgebung;kW_gemessen;kW_gem_Umluftkassetten
2019-12-22 09:00:00;2.4;5.12409;1.51914
2019-12-22 09:10:00;2.5;5.103426;1.61454
2019-12-22 09:20:00;2.6;5.09841;1.619984
2019-12-22 09:30:00;2.6;5.084518;1.516382
2019-12-22 09:40:00;2.3;5.080328;1.43453
2019-12-22 09:50:00;2.3;5.076976;1.673722
2019-12-22 10:00:00;2.3;5.081094;1.500816
2019-12-22 10:10:00;2.3;5.09632;1.411227
2019-12-22 10:20:00;2.4;5.086363;1.712483
2019-12-22 10:30:00;2.5;5.075942;1.918928
2019-12-22 10:40:00;2.6;5.077286;2.088212
2019-12-22 10:50:00;2.6;5.08748;1.71502
2019-12-22 11:00:00;2.7;5.080662;1.388502
2019-12-22 11:10:00;3.0;5.066014;1.20544
2019-12-22 11:20:00;3.0;5.05036;1.486404
2019-12-22 11:30:00;3.2;5.083798;1.63211
2019-12-22 11:40:00;3.5;5.110564;1.115452
2019-12-22 11:50:00;3.6;5.10255;1.099242
2019-12-22 12:00:00;3.5;5.124596;1.511796
2019-12-22 12:10:00;3.2;5.151974;1.204434
2019-12-22 12:20:00;3.6;5.148902;0.894754
2019-12-22 12:30:00;3.5;5.160694;1.184194
2019-12-22 12:40:00;3.5;5.147764;1.481682
2019-12-22 12:50:00;3.6;5.117696;1.418798
2019-12-22 13:00:00;3.6;5.125378;1.21168
2019-12-22 13:10:00;3.6;5.050408;1.12056
2019-12-22 13:20:00;3.7;5.064294;1.049766
2019-12-22 13:30:00;3.6;5.089135;1.36418
2019-12-22 13:40:00;3.6;5.04977;0.784854
2019-12-22 13:50:00;3.5;5.049014;1.342432
2019-12-22 14:00:00;3.5;5.059392;1.184078
2019-12-22 14:10:00;3.5;5.041922;1.22929
2019-12-22 14:20:00;3.5;5.036228;0.95433
2019-12-22 14:30:00;3.5;5.063924;1.004202
2019-12-22 14:40:00;3.5;5.043688;1.501698
2019-12-22 14:50:00;3.6;5.056818;0.770707
2019-12-22 15:00:00;3.6;5.036406;1.439926
2019-12-22 15:10:00;3.6;5.054072;1.181078
2019-12-22 15:20:00;3.6;5.050116;0.712328
2019-12-22 15:30:00;3.6;5.040192;1.102906
2019-12-22 15:40:00;3.6;5.035417;1.189952
2019-12-22 15:50:00;3.6;5.053044;1.352256
2019-12-22 16:00:00;3.5;5.045362;0.903082
2019-12-22 16:10:00;3.5;5.04992;1.112508
2019-12-22 16:20:00;3.4;5.026258;0.921238
2019-12-22 16:30:00;3.4;5.057862;1.27505
2019-12-22 16:40:00;3.4;5.07262;1.414184
2019-12-22 16:50:00;3.4;5.050366;1.117826
2019-12-22 17:00:00;3.4;5.05621;1.091984
2019-12-22 17:10:00;3.4;5.068653;1.036468
2019-12-22 17:20:00;3.3;5.035845;0.97714
2019-12-22 17:30:00;3.4;5.044904;0.962316
2019-12-22 17:40:00;3.4;5.057404;1.04233
2019-12-22 17:50:00;3.4;5.046892;1.098788
2019-12-22 18:00:00;3.4;5.057282;1.110278
2019-12-22 18:10:00;3.4;5.051326;1.109766
2019-12-22 18:20:00;3.5;5.050648;1.203036
2019-12-22 18:30:00;3.6;5.053334;1.1175
2019-12-22 18:40:00;3.6;5.03784;1.12274
2019-12-22 18:50:00;3.6;5.033684;1.078648
2019-12-22 19:00:00;3.6;5.10206;1.065998
2019-12-22 19:10:00;3.9;5.026622;1.072236
2019-12-22 19:20:00;4.2;5.038632;1.094558
2019-12-22 19:30:00;4.6;5.078008;0.82212
2019-12-22 19:40:00;5.1;5.04204;1.578308
2019-12-22 19:50:00;5.3;5.077026;1.18466
2019-12-22 20:00:00;5.4;5.073352;1.140694
2019-12-22 20:10:00;5.4;5.08694;1.080582
2019-12-22 20:20:00;5.5;5.079022;1.094088
2019-12-22 20:30:00;5.5;5.076842;1.14112
2019-12-22 20:40:00;5.6;5.043132;1.149608
2019-12-22 20:50:00;5.6;5.076868;1.095446
2019-12-22 21:00:00;5.5;5.113128;1.118362
2019-12-22 21:10:00;5.5;5.089272;1.123426
2019-12-22 21:20:00;5.5;5.133192;1.621128
2019-12-22 21:30:00;5.4;5.153984;1.749188
2019-12-22 21:40:00;5.5;5.11563;1.234854
2019-12-22 21:50:00;5.5;5.657266;1.710886
2019-12-22 22:00:00;5.5;6.569342;1.148526
2019-12-22 22:10:00;5.5;7.18229;1.166546
2019-12-22 22:20:00;5.4;6.739466;1.6735
2019-12-22 22:30:00;5.4;6.62515;1.091644
2019-12-22 22:40:00;5.5;7.081274;1.29363
2019-12-22 22:50:00;5.4;6.570796;1.747824
2019-12-22 23:00:00;5.4;7.241522;1.073956
2019-12-22 23:10:00;5.4;6.17602;1.193874
2019-12-22 23:20:00;5.3;7.147818;1.315228
2019-12-22 23:30:00;5.3;6.14876;1.222476
2019-12-22 23:40:00;5.3;7.186662;1.105818
2019-12-22 23:50:00;5.4;5.86477;0.904324
2019-12-23 00:00:00;5.4;8.180644;1.5648
2019-12-23 00:10:00;5.4;6.59689;0.984702
2019-12-23 00:20:00;5.4;6.859126;0.905652
2019-12-23 00:30:00;5.4;6.886996;1.952182
2019-12-23 00:40:00;5.3;6.74724;0.9191
2019-12-23 00:50:00;5.3;7.323538;1.549956
2019-12-23 01:00:00;5.3;6.861842;1.480336
2019-12-23 01:10:00;5.2;6.483078;1.438244
2019-12-23 01:20:00;5.2;7.744034;2.072024
2019-12-23 01:30:00;5.1;8.032154;1.191614
2019-12-23 01:40:00;5.0;6.840728;1.477762
2019-12-23 01:50:00;5.0;7.718778;2.019658
2019-12-23 02:00:00;4.9;7.880432;1.674912
2019-12-23 02:10:00;5.0;7.099674;1.68819
2019-12-23 02:20:00;4.9;7.441488;1.70887
2019-12-23 02:30:00;4.9;6.65601;1.681288
2019-12-23 02:40:00;4.8;7.032964;1.64992
2019-12-23 02:50:00;4.6;6.690146;1.58169
2019-12-23 03:00:00;4.6;7.402725;1.489414
2019-12-23 03:10:00;4.7;6.975368;1.55389
2019-12-23 03:20:00;4.8;7.418515;1.647802
2019-12-23 03:30:00;4.8;7.16044;1.694166
2019-12-23 03:40:00;4.8;6.901768;1.675492
2019-12-23 03:50:00;4.8;7.300596;1.648174
2019-12-23 04:00:00;5.0;6.542832;1.71767
2019-12-23 04:10:00;5.0;6.227986;1.739748
2019-12-23 04:20:00;4.9;7.185384;1.74481
